"Gene_names","Eclass"
"TCF4","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"TCF3","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"AKNA","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"MAZ","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"GLIS1","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"ETS2","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"GLIS3","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"MSC","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"CTCFL","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"SMARCE1","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"MYOD1","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"ETV1","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"ETV2","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"POU2F3","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"ETV4","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"ETV5","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"ETV6","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"ETV7","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"IRF1","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"ELF1","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"MEIS2","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"SP1","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"ELF3","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"MEIS1","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"ELF4","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"SP3","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"ELF5","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"BCL6","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"CEBPZ","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"IRF7","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"NFE2L2","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"NFE2L3","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"DLX5","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"ONECUT3","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"ONECUT2","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"NRF1","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"FOXK2","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"FOXK1","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"CHD4","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"NLRC5","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"DBP","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"UTY","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"OTX1","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"E4F1","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"OTX2","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"KDM6A","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"SMARCC1","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"SMARCC2","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"TCF7L2","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"H2AFZ","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"PDX1","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"FOXJ2","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"KLF5","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"TBX5","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"USF2","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"HAND2","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"CLOCK","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"CEBPA","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"SMARCD2","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"CEBPE","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"PLAG1","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"HDAC1","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"HDAC2","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"SRF","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"CRX","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"YBX3","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"BARX2","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"NR3C1","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"SIX3","RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"
"MED1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"PCGF6","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ESX1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"EBF4","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"SOX12","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ISL1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"SOX10","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"SOX11","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"RUNX3","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"SMARCA4","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"GATAD2B","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"HNRNPK","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NOBOX","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"HNRNPC","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"TP53","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ATF2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"LEF1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ZNF277","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ATF3","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"CGGBP1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"SMARCB1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"EHF","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ATF1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"WBP2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"RAX","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"BACH1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"BACH2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ARNTL","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MUC1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ACTB","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MTA1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MTA2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"CREB3L4","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MYB","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"CREB3L2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NHLH1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"CREB3L3","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MYC","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"STAT6","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"E2F7","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NKX2-5","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ZNF148","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"E2F8","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"STAT5B","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"EGR1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"KLF12","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"CREBBP","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"BATF3","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"BCL11B","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"FOXF2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ACTL6A","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"BCL11A","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"FOXF1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"KLF10","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"EAF2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NR1D1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"BHLHA15","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NR1D2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NR2F6","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"OVOL1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"FLI1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"PBX1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"FOSL2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"AR","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"FOSL1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"HOXB5","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"HOXB3","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"SNAI1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NANOG","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ATF4","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ATF5","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"SPI1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ARX","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"GATA6","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"GATA5","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"GATA4","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"GATA3","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ELK1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"GATA2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ELK3","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"GATA1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"RBPJ","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"SOX3","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"SOX4","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"SOX1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"SOX2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"T","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"SOX18","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"DPF2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NKX3-1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"SOX9","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"JUNB","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MYBL1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MYBL2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ALX1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"FEZF2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"SOX8","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"FEZF1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"STAT5A","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NKX3-2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"FOXD3","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"JUN","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"FOXD1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"H3F3A","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MYOG","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NFATC4","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"PAX5","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NFATC3","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"PAX4","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NFATC2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NFATC1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"PAX6","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NME1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"PHOX2B","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"PAX2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NR5A2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"PHOX2A","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"TFAP4","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"PAX9","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"PAX8","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MTF1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"TAL1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"BHLHE41","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"RARB","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MKX","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"REL","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"RARA","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"CC2D1A","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"CC2D1B","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MIXL1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"FOXC1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NR1I2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MESP1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"SUV39H2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NR1I3","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"SUV39H1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"AEBP1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"AEBP2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"CTCF","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MEOX2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"HOXC11","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NEUROD2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MED12","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MEOX1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NEUROD6","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"HNF4A","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"SMYD3","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MLX","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NFIL3","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NEUROD1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"GABPA","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MEF2B","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MEF2A","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MEF2D","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MEF2C","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"PPARA","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"STAT1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"GSX1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NR1H3","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"PRMT5","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MBD2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NR1H2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MBD3","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"DMRT1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"PROX1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"FOS","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NR1H4","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NFIA","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"HEYL","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NR6A1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"GCFC2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"M0R384","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"PER2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NFIB","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"PER1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"GZF1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ZNF335","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NEUROG3","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"FOXA2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"RARG","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"GLI3","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MNT","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"CUX2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"CUX1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"EP300","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"PLAGL1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NFYA","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"LMO2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"TFAP2B","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"EOMES","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"TFAP2C","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"TFAP2D","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"CDX4","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"LMO4","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"CDX1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ARID3A","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MITF","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ARID3B","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"TBR1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MYT1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"POU4F1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"POU4F2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"FOXP4","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"POU4F3","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"FOXP2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MZF1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"TFAP2A","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ZNF431","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"RELA","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"RBPJL","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"PRDM5","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"CARF","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"HOXA10","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"RXRA","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"RXRB","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"HSF1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NACC2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"RBBP4","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"RUVBL2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"HSF2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"TAF1B","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"TBX20","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MSX1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"PITX1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MSX2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"PITX3","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"PITX2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ATOH1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"SMAD3","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ESRRB","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"SREBF2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"TGIF1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ESRRA","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MYPOP","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"SMAD5","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"SMAD4","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"SMAD1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ESRRG","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"FOXN4","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ESR1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NFKB1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ESR2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"CREB3","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NR4A2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"CREB1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MXD1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"PGR","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"TCF4","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"TCF3","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"AKNA","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MAZ","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"DUX4","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"GLIS1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"RORA","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ETS2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"C1ORF51","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"GLIS3","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MSC","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"CTCFL","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MYOCD","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MKL1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"SMARCE1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MYOD1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ETV1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ETV2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"POU2F3","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ETV4","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ETV5","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ETV6","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ETV7","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"IRF1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ELF1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MEIS2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"SP1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ELF3","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"MEIS1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ELF4","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"SP3","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ELF5","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"SFPQ","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"BCL6","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"CEBPZ","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"DUX4L9","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"IRF7","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"TOP1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NFE2L2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NFE2L3","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ZNF750","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"DLX5","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ONECUT3","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"ONECUT2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NRF1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"FOXK2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"FOXK1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"CHD4","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NLRC5","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"CHD2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"DBP","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"NRIP1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"UTY","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"OTX1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"E4F1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"OTX2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"KDM6A","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"SMARCC1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"SMARCC2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"TCF7L2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"H2AFZ","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"KLF1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"PDX1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"FOXJ2","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"FOXJ1","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"KLF5","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"KLF4","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
"TBX5","transcription regulatory region sequence-specific DNA binding (GO:0000976)"
