"Egenes","Eclass"
"STX18","Golgi apparatus (GO:0005794)"
"KDELR1","Golgi apparatus (GO:0005794)"
"KDELR2","Golgi apparatus (GO:0005794)"
"LRP6","Golgi apparatus (GO:0005794)"
"STX12","Golgi apparatus (GO:0005794)"
"NTN3","Golgi apparatus (GO:0005794)"
"STX11","Golgi apparatus (GO:0005794)"
"STS","Golgi apparatus (GO:0005794)"
"HERC1","Golgi apparatus (GO:0005794)"
"CSNK1D","Golgi apparatus (GO:0005794)"
"TGOLN2","Golgi apparatus (GO:0005794)"
"KDR","Golgi apparatus (GO:0005794)"
"E2F3","Golgi apparatus (GO:0005794)"
"PTGFRN","Golgi apparatus (GO:0005794)"
"RAB11FIP5","Golgi apparatus (GO:0005794)"
"YES1","Golgi apparatus (GO:0005794)"
"ARSB","Golgi apparatus (GO:0005794)"
"ST6GAL2","Golgi apparatus (GO:0005794)"
"SURF4","Golgi apparatus (GO:0005794)"
"ST8SIA1","Golgi apparatus (GO:0005794)"
"ST6GAL1","Golgi apparatus (GO:0005794)"
"PAQR3","Golgi apparatus (GO:0005794)"
"ST8SIA3","Golgi apparatus (GO:0005794)"
"PLA2G4A","Golgi apparatus (GO:0005794)"
"MYO5A","Golgi apparatus (GO:0005794)"
"RAB27A","Golgi apparatus (GO:0005794)"
"RAB27B","Golgi apparatus (GO:0005794)"
"ANK3","Golgi apparatus (GO:0005794)"
"EXT1","Golgi apparatus (GO:0005794)"
"EXT2","Golgi apparatus (GO:0005794)"
"ACER2","Golgi apparatus (GO:0005794)"
"CNKSR2","Golgi apparatus (GO:0005794)"
"AIMP1","Golgi apparatus (GO:0005794)"
"RNF144A","Golgi apparatus (GO:0005794)"
"GORASP2","Golgi apparatus (GO:0005794)"
"GORASP1","Golgi apparatus (GO:0005794)"
"GRB2","Golgi apparatus (GO:0005794)"
"CERKL","Golgi apparatus (GO:0005794)"
"GCC1","Golgi apparatus (GO:0005794)"
"GCC2","Golgi apparatus (GO:0005794)"
"CD1E","Golgi apparatus (GO:0005794)"
"CCDC91","Golgi apparatus (GO:0005794)"
"SI","Golgi apparatus (GO:0005794)"
"DYM","Golgi apparatus (GO:0005794)"
"APOE","Golgi apparatus (GO:0005794)"
"ARSE","Golgi apparatus (GO:0005794)"
"APOB","Golgi apparatus (GO:0005794)"
"MST4","Golgi apparatus (GO:0005794)"
"TSNAX","Golgi apparatus (GO:0005794)"
"IL15","Golgi apparatus (GO:0005794)"
"AGTRAP","Golgi apparatus (GO:0005794)"
"MMEL1","Golgi apparatus (GO:0005794)"
"KLK11","Golgi apparatus (GO:0005794)"
"SYN1","Golgi apparatus (GO:0005794)"
"BST2","Golgi apparatus (GO:0005794)"
"ID1","Golgi apparatus (GO:0005794)"
"KCNS3","Golgi apparatus (GO:0005794)"
"CALU","Golgi apparatus (GO:0005794)"
"ARHGEF2","Golgi apparatus (GO:0005794)"
"CRELD2","Golgi apparatus (GO:0005794)"
"CALR","Golgi apparatus (GO:0005794)"
"GGNBP1","Golgi apparatus (GO:0005794)"
"TMED10","Golgi apparatus (GO:0005794)"
"PCSK1","Golgi apparatus (GO:0005794)"
"SECTM1","Golgi apparatus (GO:0005794)"
"CSDE1","Golgi apparatus (GO:0005794)"
"PCSK9","Golgi apparatus (GO:0005794)"
"NEDD9","Golgi apparatus (GO:0005794)"
"IER3IP1","Golgi apparatus (GO:0005794)"
"PCSK5","Golgi apparatus (GO:0005794)"
"AATF","Golgi apparatus (GO:0005794)"
"SEC14L1","Golgi apparatus (GO:0005794)"
"SNX1","Golgi apparatus (GO:0005794)"
"ST8SIA6","Golgi apparatus (GO:0005794)"
"KIF1C","Golgi apparatus (GO:0005794)"
"CD36","Golgi apparatus (GO:0005794)"
"CTSC","Golgi apparatus (GO:0005794)"
"DBNL","Golgi apparatus (GO:0005794)"
"SORT1","Golgi apparatus (GO:0005794)"
"PNPLA8","Golgi apparatus (GO:0005794)"
"GAD2","Golgi apparatus (GO:0005794)"
"GAL","Golgi apparatus (GO:0005794)"
"TPST2","Golgi apparatus (GO:0005794)"
"SGSM1","Golgi apparatus (GO:0005794)"
"GAK","Golgi apparatus (GO:0005794)"
"TPST1","Golgi apparatus (GO:0005794)"
"NEDD4","Golgi apparatus (GO:0005794)"
"TACC2","Golgi apparatus (GO:0005794)"
"CD46","Golgi apparatus (GO:0005794)"
"CD44","Golgi apparatus (GO:0005794)"
"FAM57B","Golgi apparatus (GO:0005794)"
"AP4E1","Golgi apparatus (GO:0005794)"
"ZDHHC7","Golgi apparatus (GO:0005794)"
"ZDHHC8","Golgi apparatus (GO:0005794)"
"ZDHHC9","Golgi apparatus (GO:0005794)"
"ZDHHC2","Golgi apparatus (GO:0005794)"
"GNAI1","Golgi apparatus (GO:0005794)"
"ZDHHC3","Golgi apparatus (GO:0005794)"
"ZDHHC4","Golgi apparatus (GO:0005794)"
"GNAI3","Golgi apparatus (GO:0005794)"
"SH3RF1","Golgi apparatus (GO:0005794)"
"POFUT2","Golgi apparatus (GO:0005794)"
"CREG2","Golgi apparatus (GO:0005794)"
"NCS1","Golgi apparatus (GO:0005794)"
"SDF4","Golgi apparatus (GO:0005794)"
"FAM3C","Golgi apparatus (GO:0005794)"
"ENPP7","Golgi apparatus (GO:0005794)"
"MMGT1","Golgi apparatus (GO:0005794)"
"SCARA3","Golgi apparatus (GO:0005794)"
"DENND4B","Golgi apparatus (GO:0005794)"
"TJAP1","Golgi apparatus (GO:0005794)"
"VCAM1","Golgi apparatus (GO:0005794)"
"HS3ST4","Golgi apparatus (GO:0005794)"
"AKR7A2","Golgi apparatus (GO:0005794)"
"KLHL20","Golgi apparatus (GO:0005794)"
"LAX1","Golgi apparatus (GO:0005794)"
"EMID1","Golgi apparatus (GO:0005794)"
"RAF1","Golgi apparatus (GO:0005794)"
"TFAP2A","Golgi apparatus (GO:0005794)"
"UBXN2B","Golgi apparatus (GO:0005794)"
"GIMAP1","Golgi apparatus (GO:0005794)"
"RBM4B","Golgi apparatus (GO:0005794)"
"SLC1A5","Golgi apparatus (GO:0005794)"
"ASAP2","Golgi apparatus (GO:0005794)"
"INPPL1","Golgi apparatus (GO:0005794)"
"SLC1A6","Golgi apparatus (GO:0005794)"
"GIMAP8","Golgi apparatus (GO:0005794)"
"ATP2C1","Golgi apparatus (GO:0005794)"
"NDRG2","Golgi apparatus (GO:0005794)"
"GNPTAB","Golgi apparatus (GO:0005794)"
"CAPN8","Golgi apparatus (GO:0005794)"
"PERP","Golgi apparatus (GO:0005794)"
"TBC1D14","Golgi apparatus (GO:0005794)"
"CAPN2","Golgi apparatus (GO:0005794)"
"DENND5A","Golgi apparatus (GO:0005794)"
"PAK4","Golgi apparatus (GO:0005794)"
"FGF22","Golgi apparatus (GO:0005794)"
"SLC30A8","Golgi apparatus (GO:0005794)"
"SLC30A7","Golgi apparatus (GO:0005794)"
"SLC30A6","Golgi apparatus (GO:0005794)"
"PRNP","Golgi apparatus (GO:0005794)"
"SLC30A5","Golgi apparatus (GO:0005794)"
"MINK1","Golgi apparatus (GO:0005794)"
"CYBB","Golgi apparatus (GO:0005794)"
"CYBA","Golgi apparatus (GO:0005794)"
"SLC30A1","Golgi apparatus (GO:0005794)"
"CAMKMT","Golgi apparatus (GO:0005794)"
"CREB3","Golgi apparatus (GO:0005794)"
"PICALM","Golgi apparatus (GO:0005794)"
"IFT20","Golgi apparatus (GO:0005794)"
"H1F0","Golgi apparatus (GO:0005794)"
"PKDCC","Golgi apparatus (GO:0005794)"
"PSEN1","Golgi apparatus (GO:0005794)"
"DPY30","Golgi apparatus (GO:0005794)"
"GLYAT","Golgi apparatus (GO:0005794)"
"PSEN2","Golgi apparatus (GO:0005794)"
"VCPIP1","Golgi apparatus (GO:0005794)"
"FAM198B","Golgi apparatus (GO:0005794)"
"GYLTL1B","Golgi apparatus (GO:0005794)"
"RASGRP1","Golgi apparatus (GO:0005794)"
"TGM4","Golgi apparatus (GO:0005794)"
"DYNAP","Golgi apparatus (GO:0005794)"
"GALNT7","Golgi apparatus (GO:0005794)"
"GALNT6","Golgi apparatus (GO:0005794)"
"ARFGEF1","Golgi apparatus (GO:0005794)"
"GALNT4","Golgi apparatus (GO:0005794)"
"GALNT3","Golgi apparatus (GO:0005794)"
"CAV3","Golgi apparatus (GO:0005794)"
"CAV2","Golgi apparatus (GO:0005794)"
"GALNT2","Golgi apparatus (GO:0005794)"
"GALNT1","Golgi apparatus (GO:0005794)"
"EPN2","Golgi apparatus (GO:0005794)"
"PJA2","Golgi apparatus (GO:0005794)"
"CLCN5","Golgi apparatus (GO:0005794)"
"PEX5","Golgi apparatus (GO:0005794)"
"HOOK3","Golgi apparatus (GO:0005794)"
"BMP1","Golgi apparatus (GO:0005794)"
"RER1","Golgi apparatus (GO:0005794)"
"EAPP","Golgi apparatus (GO:0005794)"
"RTN3","Golgi apparatus (GO:0005794)"
"FUT1","Golgi apparatus (GO:0005794)"
"FUT3","Golgi apparatus (GO:0005794)"
"PLD1","Golgi apparatus (GO:0005794)"
"FUT2","Golgi apparatus (GO:0005794)"
"FUT5","Golgi apparatus (GO:0005794)"
"FUT4","Golgi apparatus (GO:0005794)"
"FUT7","Golgi apparatus (GO:0005794)"
"FUT6","Golgi apparatus (GO:0005794)"
"FUT9","Golgi apparatus (GO:0005794)"
"FUT8","Golgi apparatus (GO:0005794)"
"CA4","Golgi apparatus (GO:0005794)"
"GPER1","Golgi apparatus (GO:0005794)"
"MAN1A2","Golgi apparatus (GO:0005794)"
"PIDD1","Golgi apparatus (GO:0005794)"
"GALNT9","Golgi apparatus (GO:0005794)"
"MBTPS1","Golgi apparatus (GO:0005794)"
"TAF11","Golgi apparatus (GO:0005794)"
"TRAPPC2P1","Golgi apparatus (GO:0005794)"
"LMTK2","Golgi apparatus (GO:0005794)"
"ATP2B3","Golgi apparatus (GO:0005794)"
"FNDC3A","Golgi apparatus (GO:0005794)"
"LEPREL1","Golgi apparatus (GO:0005794)"
"IRGM","Golgi apparatus (GO:0005794)"
"PTHLH","Golgi apparatus (GO:0005794)"
"GLB1","Golgi apparatus (GO:0005794)"
"CAT","Golgi apparatus (GO:0005794)"
"CPTP","Golgi apparatus (GO:0005794)"
"ZP2","Golgi apparatus (GO:0005794)"
"TAF7","Golgi apparatus (GO:0005794)"
"ZP1","Golgi apparatus (GO:0005794)"
"DYNLT1","Golgi apparatus (GO:0005794)"
"ZP3","Golgi apparatus (GO:0005794)"
"GOSR1","Golgi apparatus (GO:0005794)"
"TNKS2","Golgi apparatus (GO:0005794)"
"RND3","Golgi apparatus (GO:0005794)"
"CLCN3","Golgi apparatus (GO:0005794)"
"RPGR","Golgi apparatus (GO:0005794)"
"CRYZ","Golgi apparatus (GO:0005794)"
"CLN5","Golgi apparatus (GO:0005794)"
"CLN3","Golgi apparatus (GO:0005794)"
"IFT57","Golgi apparatus (GO:0005794)"
"UNC13B","Golgi apparatus (GO:0005794)"
"GLCE","Golgi apparatus (GO:0005794)"
"SYTL2","Golgi apparatus (GO:0005794)"
"SLC50A1","Golgi apparatus (GO:0005794)"
"PASK","Golgi apparatus (GO:0005794)"
"WDR77","Golgi apparatus (GO:0005794)"
"GTPBP4","Golgi apparatus (GO:0005794)"
"GPR162","Golgi apparatus (GO:0005794)"
"CEP83","Golgi apparatus (GO:0005794)"
"GLA","Golgi apparatus (GO:0005794)"
"PI4K2A","Golgi apparatus (GO:0005794)"
"GALT","Golgi apparatus (GO:0005794)"
"SGMS2","Golgi apparatus (GO:0005794)"
"MAML2","Golgi apparatus (GO:0005794)"
"PDXDC1","Golgi apparatus (GO:0005794)"
"XYLT2","Golgi apparatus (GO:0005794)"
"CRACR2A","Golgi apparatus (GO:0005794)"
"CREB3L4","Golgi apparatus (GO:0005794)"
"CHST10","Golgi apparatus (GO:0005794)"
"PLCE1","Golgi apparatus (GO:0005794)"
"ST3GAL6","Golgi apparatus (GO:0005794)"
"ST3GAL1","Golgi apparatus (GO:0005794)"
"NCSTN","Golgi apparatus (GO:0005794)"
"ST3GAL3","Golgi apparatus (GO:0005794)"
"ST3GAL4","Golgi apparatus (GO:0005794)"
"NDFIP1","Golgi apparatus (GO:0005794)"
"CUBN","Golgi apparatus (GO:0005794)"
"NDFIP2","Golgi apparatus (GO:0005794)"
"FZD5","Golgi apparatus (GO:0005794)"
"FZD8","Golgi apparatus (GO:0005794)"
"PRKCE","Golgi apparatus (GO:0005794)"
"TMEM192","Golgi apparatus (GO:0005794)"
"SLC16A13","Golgi apparatus (GO:0005794)"
"TERF2","Golgi apparatus (GO:0005794)"
"BACE1","Golgi apparatus (GO:0005794)"
"BACE2","Golgi apparatus (GO:0005794)"
"PPT1","Golgi apparatus (GO:0005794)"
"PRKD2","Golgi apparatus (GO:0005794)"
"STMN3","Golgi apparatus (GO:0005794)"
"XPA","Golgi apparatus (GO:0005794)"
"STMN4","Golgi apparatus (GO:0005794)"
"ABO","Golgi apparatus (GO:0005794)"
"WDR44","Golgi apparatus (GO:0005794)"
"GJA1","Golgi apparatus (GO:0005794)"
"STMN2","Golgi apparatus (GO:0005794)"
"CDK5RAP2","Golgi apparatus (GO:0005794)"
"SNAPIN","Golgi apparatus (GO:0005794)"
"SEC16A","Golgi apparatus (GO:0005794)"
"TCP1","Golgi apparatus (GO:0005794)"
"C9ORF89","Golgi apparatus (GO:0005794)"
"ASH1L","Golgi apparatus (GO:0005794)"
"TMEM173","Golgi apparatus (GO:0005794)"
"CDC6","Golgi apparatus (GO:0005794)"
"ADI1","Golgi apparatus (GO:0005794)"
"GNPTG","Golgi apparatus (GO:0005794)"
"GALNTL6","Golgi apparatus (GO:0005794)"
"GAS8","Golgi apparatus (GO:0005794)"
"SERPINA1","Golgi apparatus (GO:0005794)"
"TMEM165","Golgi apparatus (GO:0005794)"
"GLG1","Golgi apparatus (GO:0005794)"
"TRIM5","Golgi apparatus (GO:0005794)"
"TEAD1","Golgi apparatus (GO:0005794)"
"CEP57","Golgi apparatus (GO:0005794)"
"WWOX","Golgi apparatus (GO:0005794)"
"SULF2","Golgi apparatus (GO:0005794)"
"SULF1","Golgi apparatus (GO:0005794)"
"GPR143","Golgi apparatus (GO:0005794)"
"NMNAT2","Golgi apparatus (GO:0005794)"
"A4GNT","Golgi apparatus (GO:0005794)"
"RNF128","Golgi apparatus (GO:0005794)"
"TOM1L1","Golgi apparatus (GO:0005794)"
"USO1","Golgi apparatus (GO:0005794)"
"NUCB1","Golgi apparatus (GO:0005794)"
"LAMTOR1","Golgi apparatus (GO:0005794)"
"NUCB2","Golgi apparatus (GO:0005794)"
"PLIN3","Golgi apparatus (GO:0005794)"
"RNF122","Golgi apparatus (GO:0005794)"
"SPEF2","Golgi apparatus (GO:0005794)"
"GCNT2","Golgi apparatus (GO:0005794)"
"LPCAT1","Golgi apparatus (GO:0005794)"
"CLINT1","Golgi apparatus (GO:0005794)"
"PHF7","Golgi apparatus (GO:0005794)"
"PHEX","Golgi apparatus (GO:0005794)"
"LMAN2","Golgi apparatus (GO:0005794)"
"ARFRP1","Golgi apparatus (GO:0005794)"
"AP3S1","Golgi apparatus (GO:0005794)"
"RHO","Golgi apparatus (GO:0005794)"
"AP3S2","Golgi apparatus (GO:0005794)"
"GCNT6","Golgi apparatus (GO:0005794)"
"GCNT7","Golgi apparatus (GO:0005794)"
"RAB2B","Golgi apparatus (GO:0005794)"
"GOLGA8T","Golgi apparatus (GO:0005794)"
"GOLGA8S","Golgi apparatus (GO:0005794)"
"YIPF3","Golgi apparatus (GO:0005794)"
"YIPF4","Golgi apparatus (GO:0005794)"
"YIPF5","Golgi apparatus (GO:0005794)"
"GOLGA8K","Golgi apparatus (GO:0005794)"
"GOLGA8N","Golgi apparatus (GO:0005794)"
"GOLGA8M","Golgi apparatus (GO:0005794)"
"YIF1A","Golgi apparatus (GO:0005794)"
"GOLGA8O","Golgi apparatus (GO:0005794)"
"GOLGA8R","Golgi apparatus (GO:0005794)"
"GOLGA8Q","Golgi apparatus (GO:0005794)"
"NSFL1C","Golgi apparatus (GO:0005794)"
"RAB34","Golgi apparatus (GO:0005794)"
"GOLGA8F","Golgi apparatus (GO:0005794)"
"CNIH1","Golgi apparatus (GO:0005794)"
"GOLGA8H","Golgi apparatus (GO:0005794)"
"GOLGA8J","Golgi apparatus (GO:0005794)"
"RAB36","Golgi apparatus (GO:0005794)"
"KAT6A","Golgi apparatus (GO:0005794)"
"GOLGA8I","Golgi apparatus (GO:0005794)"
"CSPG5","Golgi apparatus (GO:0005794)"
"GOLGA8B","Golgi apparatus (GO:0005794)"
"GOLGA8A","Golgi apparatus (GO:0005794)"
"PARK2","Golgi apparatus (GO:0005794)"
"RAB1B","Golgi apparatus (GO:0005794)"
"JAKMIP2","Golgi apparatus (GO:0005794)"
"FGD1","Golgi apparatus (GO:0005794)"
"FGD2","Golgi apparatus (GO:0005794)"
"FGD3","Golgi apparatus (GO:0005794)"
"JAKMIP3","Golgi apparatus (GO:0005794)"
"FGD4","Golgi apparatus (GO:0005794)"
"FGD5","Golgi apparatus (GO:0005794)"
"AP3M2","Golgi apparatus (GO:0005794)"
"GOLGA7B","Golgi apparatus (GO:0005794)"
"RAB20","Golgi apparatus (GO:0005794)"
"FGD6","Golgi apparatus (GO:0005794)"
"CLCC1","Golgi apparatus (GO:0005794)"
"GRB14","Golgi apparatus (GO:0005794)"
"SLC39A7","Golgi apparatus (GO:0005794)"
"ASCC3","Golgi apparatus (GO:0005794)"
"SLC26A11","Golgi apparatus (GO:0005794)"
"LDLR","Golgi apparatus (GO:0005794)"
"AP3M1","Golgi apparatus (GO:0005794)"
"OSBPL9","Golgi apparatus (GO:0005794)"
"MAP2K2","Golgi apparatus (GO:0005794)"
"TRAPPC1","Golgi apparatus (GO:0005794)"
"ATP8B4","Golgi apparatus (GO:0005794)"
"TRAPPC2","Golgi apparatus (GO:0005794)"
"F2R","Golgi apparatus (GO:0005794)"
"IGFBP6","Golgi apparatus (GO:0005794)"
"TMEM132A","Golgi apparatus (GO:0005794)"
"ATP8B2","Golgi apparatus (GO:0005794)"
"MAP2K1","Golgi apparatus (GO:0005794)"
"TRAPPC8","Golgi apparatus (GO:0005794)"
"TRAPPC5","Golgi apparatus (GO:0005794)"
"ATP8B1","Golgi apparatus (GO:0005794)"
"BET1L","Golgi apparatus (GO:0005794)"
"TRAPPC9","Golgi apparatus (GO:0005794)"
"NSG1","Golgi apparatus (GO:0005794)"
"NSG2","Golgi apparatus (GO:0005794)"
"DUSP26","Golgi apparatus (GO:0005794)"
"GOLGA6B","Golgi apparatus (GO:0005794)"
"GOLGA6A","Golgi apparatus (GO:0005794)"
"GOLGA6D","Golgi apparatus (GO:0005794)"
"GOLGA6C","Golgi apparatus (GO:0005794)"
"KIFC3","Golgi apparatus (GO:0005794)"
"PITPNM1","Golgi apparatus (GO:0005794)"
"SPIRE1","Golgi apparatus (GO:0005794)"
"GLYR1","Golgi apparatus (GO:0005794)"
"SYAP1","Golgi apparatus (GO:0005794)"
"PARM1","Golgi apparatus (GO:0005794)"
"CALCOCO2","Golgi apparatus (GO:0005794)"
"CUL7","Golgi apparatus (GO:0005794)"
"CLSTN3","Golgi apparatus (GO:0005794)"
"ATP8A2","Golgi apparatus (GO:0005794)"
"ATP8A1","Golgi apparatus (GO:0005794)"
"CLSTN1","Golgi apparatus (GO:0005794)"
"CLSTN2","Golgi apparatus (GO:0005794)"
"SLC38A10","Golgi apparatus (GO:0005794)"
"HID1","Golgi apparatus (GO:0005794)"
"FGF3","Golgi apparatus (GO:0005794)"
"IPO5","Golgi apparatus (GO:0005794)"
"RHOBTB3","Golgi apparatus (GO:0005794)"
"FGF7","Golgi apparatus (GO:0005794)"
"RAB43","Golgi apparatus (GO:0005794)"
"ESD","Golgi apparatus (GO:0005794)"
"RPH3A","Golgi apparatus (GO:0005794)"
"KCNIP3","Golgi apparatus (GO:0005794)"
"AVPR2","Golgi apparatus (GO:0005794)"
"RFC1","Golgi apparatus (GO:0005794)"
"DHCR24","Golgi apparatus (GO:0005794)"
"DDHD2","Golgi apparatus (GO:0005794)"
"BCL9","Golgi apparatus (GO:0005794)"
"CPE","Golgi apparatus (GO:0005794)"
"SERINC3","Golgi apparatus (GO:0005794)"
"CBLN3","Golgi apparatus (GO:0005794)"
"SERINC5","Golgi apparatus (GO:0005794)"
"GAL3ST1","Golgi apparatus (GO:0005794)"
"CPQ","Golgi apparatus (GO:0005794)"
"GAL3ST2","Golgi apparatus (GO:0005794)"
"SRCAP","Golgi apparatus (GO:0005794)"
"TNKS","Golgi apparatus (GO:0005794)"
"MAPKAP1","Golgi apparatus (GO:0005794)"
"DUSP10","Golgi apparatus (GO:0005794)"
"VPS52","Golgi apparatus (GO:0005794)"
"MGAT5B","Golgi apparatus (GO:0005794)"
"VPS51","Golgi apparatus (GO:0005794)"
"MROH5","Golgi apparatus (GO:0005794)"
"GAL3ST3","Golgi apparatus (GO:0005794)"
"GAL3ST4","Golgi apparatus (GO:0005794)"
"PRKG1","Golgi apparatus (GO:0005794)"
"PLA2G12A","Golgi apparatus (GO:0005794)"
"FKRP","Golgi apparatus (GO:0005794)"
"RNF24","Golgi apparatus (GO:0005794)"
"FBXL14","Golgi apparatus (GO:0005794)"
"KLF5","Golgi apparatus (GO:0005794)"
"MTOR","Golgi apparatus (GO:0005794)"
"HAUS2","Golgi apparatus (GO:0005794)"
"RAB12","Golgi apparatus (GO:0005794)"
"RP2","Golgi apparatus (GO:0005794)"
"RAB10","Golgi apparatus (GO:0005794)"
"GOLGA8DP","Golgi apparatus (GO:0005794)"
"VAPB","Golgi apparatus (GO:0005794)"
"P2RX3","Golgi apparatus (GO:0005794)"
"RAB13","Golgi apparatus (GO:0005794)"
"PPAP2B","Golgi apparatus (GO:0005794)"
"VPS45","Golgi apparatus (GO:0005794)"
"LEPROT","Golgi apparatus (GO:0005794)"
"HDAC5","Golgi apparatus (GO:0005794)"
"RNF13","Golgi apparatus (GO:0005794)"
"SYNE1","Golgi apparatus (GO:0005794)"
"TTN","Golgi apparatus (GO:0005794)"
"PIK3C2A","Golgi apparatus (GO:0005794)"
"FTCD","Golgi apparatus (GO:0005794)"
"SART1","Golgi apparatus (GO:0005794)"
"GOLGA8CP","Golgi apparatus (GO:0005794)"
"AP1G1","Golgi apparatus (GO:0005794)"
"SGCE","Golgi apparatus (GO:0005794)"
"AP1G2","Golgi apparatus (GO:0005794)"
"SOST","Golgi apparatus (GO:0005794)"
"SH3D19","Golgi apparatus (GO:0005794)"
"SLC35A3","Golgi apparatus (GO:0005794)"
"DYNC2H1","Golgi apparatus (GO:0005794)"
"SLC35A2","Golgi apparatus (GO:0005794)"
"ACSL3","Golgi apparatus (GO:0005794)"
"ESCO2","Golgi apparatus (GO:0005794)"
"SLC35A1","Golgi apparatus (GO:0005794)"
"KRT2","Golgi apparatus (GO:0005794)"
"AP1AR","Golgi apparatus (GO:0005794)"
"UBAC1","Golgi apparatus (GO:0005794)"
"MTUS1","Golgi apparatus (GO:0005794)"
"RRAGB","Golgi apparatus (GO:0005794)"
"RRAGA","Golgi apparatus (GO:0005794)"
"CORO7","Golgi apparatus (GO:0005794)"
"OBSL1","Golgi apparatus (GO:0005794)"
"RSC1A1","Golgi apparatus (GO:0005794)"
"SLC35B4","Golgi apparatus (GO:0005794)"
"APP","Golgi apparatus (GO:0005794)"
"SLC35B2","Golgi apparatus (GO:0005794)"
"GORAB","Golgi apparatus (GO:0005794)"
"AKAP9","Golgi apparatus (GO:0005794)"
"AKAP8","Golgi apparatus (GO:0005794)"
"RASIP1","Golgi apparatus (GO:0005794)"
"PDCD10","Golgi apparatus (GO:0005794)"
"NTSR1","Golgi apparatus (GO:0005794)"
"B2M","Golgi apparatus (GO:0005794)"
"TIPIN","Golgi apparatus (GO:0005794)"
"ZFPL1","Golgi apparatus (GO:0005794)"
"FKTN","Golgi apparatus (GO:0005794)"
"PTGDS","Golgi apparatus (GO:0005794)"
"RABGAP1L","Golgi apparatus (GO:0005794)"
"TMED9","Golgi apparatus (GO:0005794)"
"COG7","Golgi apparatus (GO:0005794)"
"COG5","Golgi apparatus (GO:0005794)"
"SLC35C2","Golgi apparatus (GO:0005794)"
"SYNRG","Golgi apparatus (GO:0005794)"
"RAB39B","Golgi apparatus (GO:0005794)"
"COG3","Golgi apparatus (GO:0005794)"
"HLA-C","Golgi apparatus (GO:0005794)"
"COG1","Golgi apparatus (GO:0005794)"
"HLA-A","Golgi apparatus (GO:0005794)"
"HLA-B","Golgi apparatus (GO:0005794)"
"CBFA2T3","Golgi apparatus (GO:0005794)"
"IL17RD","Golgi apparatus (GO:0005794)"
"ARFGAP2","Golgi apparatus (GO:0005794)"
"ARFGAP3","Golgi apparatus (GO:0005794)"
"GBGT1","Golgi apparatus (GO:0005794)"
"INPP4B","Golgi apparatus (GO:0005794)"
"CCDC88A","Golgi apparatus (GO:0005794)"
"PARP10","Golgi apparatus (GO:0005794)"
"WBSCR17","Golgi apparatus (GO:0005794)"
"GOLGB1","Golgi apparatus (GO:0005794)"
"ITM2B","Golgi apparatus (GO:0005794)"
"ITM2C","Golgi apparatus (GO:0005794)"
"TDGF1","Golgi apparatus (GO:0005794)"
"LST1","Golgi apparatus (GO:0005794)"
"FUT10","Golgi apparatus (GO:0005794)"
"MACF1","Golgi apparatus (GO:0005794)"
"PWP1","Golgi apparatus (GO:0005794)"
"GBA2","Golgi apparatus (GO:0005794)"
"LMAN2L","Golgi apparatus (GO:0005794)"
"NAGPA","Golgi apparatus (GO:0005794)"
"CRHR2","Golgi apparatus (GO:0005794)"
"GOLGA3","Golgi apparatus (GO:0005794)"
"PRRC1","Golgi apparatus (GO:0005794)"
"GOLGA4","Golgi apparatus (GO:0005794)"
"CD79B","Golgi apparatus (GO:0005794)"
"GOLGA5","Golgi apparatus (GO:0005794)"
"INPP5B","Golgi apparatus (GO:0005794)"
"GOLGA1","Golgi apparatus (GO:0005794)"
"RUSC1","Golgi apparatus (GO:0005794)"
"GOLGA2","Golgi apparatus (GO:0005794)"
"PDE2A","Golgi apparatus (GO:0005794)"
"TRPM4","Golgi apparatus (GO:0005794)"
"ATP6V0A1","Golgi apparatus (GO:0005794)"
"PSENEN","Golgi apparatus (GO:0005794)"
"PTGES2","Golgi apparatus (GO:0005794)"
"AP3B2","Golgi apparatus (GO:0005794)"
"AP3B1","Golgi apparatus (GO:0005794)"
"BTN3A3","Golgi apparatus (GO:0005794)"
"RAB33B","Golgi apparatus (GO:0005794)"
"GKAP1","Golgi apparatus (GO:0005794)"
"FAM20C","Golgi apparatus (GO:0005794)"
"RAPSN","Golgi apparatus (GO:0005794)"
"FAM20A","Golgi apparatus (GO:0005794)"
"FAM20B","Golgi apparatus (GO:0005794)"
"KBTBD8","Golgi apparatus (GO:0005794)"
"RHOU","Golgi apparatus (GO:0005794)"
"RAB7A","Golgi apparatus (GO:0005794)"
"FIBIN","Golgi apparatus (GO:0005794)"
"RAB7B","Golgi apparatus (GO:0005794)"
"TENM1","Golgi apparatus (GO:0005794)"
"TENM2","Golgi apparatus (GO:0005794)"
"CLIC5","Golgi apparatus (GO:0005794)"
"MTTP","Golgi apparatus (GO:0005794)"
"HEPACAM2","Golgi apparatus (GO:0005794)"
"STC2","Golgi apparatus (GO:0005794)"
"UMOD","Golgi apparatus (GO:0005794)"
"STIP1","Golgi apparatus (GO:0005794)"
"SCAP","Golgi apparatus (GO:0005794)"
"GNPNAT1","Golgi apparatus (GO:0005794)"
"TMED3","Golgi apparatus (GO:0005794)"
"TMED2","Golgi apparatus (GO:0005794)"
"MAP6","Golgi apparatus (GO:0005794)"
"TMED1","Golgi apparatus (GO:0005794)"
"RAB6B","Golgi apparatus (GO:0005794)"
"TMED7","Golgi apparatus (GO:0005794)"
"TMED5","Golgi apparatus (GO:0005794)"
